Fecha,Título,Url
"08 de enero, 2016","Kaambalil boon, úuch káajak tu lu’umil maaya’ob",https://www.lajornadamaya.mx/k'iintsil/82433/kaambalil-boon-uuch-kaajak-tu-lu-umil-maaya-ob
"28 de marzo, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/80001/yaax-waal
"20 de marzo, 2016",KIINTSIL,https://www.lajornadamaya.mx/k'iintsil/80188/kiintsil
"19 de marzo, 2016",Kiintsil,https://www.lajornadamaya.mx/k'iintsil/80210/kiintsil
"04 de marzo, 2016",U paax Iron maiden,https://www.lajornadamaya.mx/k'iintsil/80668/u-paax-iron-maiden
"26 de abril, 2016",Túumben kúuchil,https://www.lajornadamaya.mx/k'iintsil/53816/tuumben-kuuchil
"25 de abril, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/53852/yaax-waal
"22 de abril, 2016",U kíimil Prince,https://www.lajornadamaya.mx/k'iintsil/53927/u-kiimil-prince
"21 de abril, 2016",Úuchben maaya tuukul,https://www.lajornadamaya.mx/k'iintsil/53974/uuchben-maaya-tuukul
"18 de abril, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/79315/yaax-waal
"14 de abril, 2016",Máambal Tsikbal,https://www.lajornadamaya.mx/k'iintsil/79423/maambal-tsikbal
"05 de abril, 2016",U yutsil óox,https://www.lajornadamaya.mx/k'iintsil/79719/u-yutsil-oox
"04 de abril, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/79772/yaax-waal
"30 de mayo, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/52718/yaax-waal
"25 de mayo, 2016",Tu tojil Venus,https://www.lajornadamaya.mx/k'iintsil/52859/tu-tojil-venus
"23 de mayo, 2016",Tu wiix paalal,https://www.lajornadamaya.mx/k'iintsil/52960/tu-wiix-paalal
"19 de mayo, 2016",Oochel,https://www.lajornadamaya.mx/k'iintsil/53084/oochel
"17 de mayo, 2016",Meyaj yéetel otomí,https://www.lajornadamaya.mx/k'iintsil/53149/meyaj-yeetel-otomi
"16 de mayo, 2016",U xook paalal,https://www.lajornadamaya.mx/k'iintsil/53201/u-xook-paalal
"10 de mayo, 2016",Túumben maaya kaaj,https://www.lajornadamaya.mx/k'iintsil/53377/tuumben-maaya-kaaj
"09 de mayo, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/53420/yaax-waal
"07 de mayo, 2016",U tsikbalil juntúul wáay,https://www.lajornadamaya.mx/k'iintsil/53471/u-tsikbalil-juntuul-waay
"03 de mayo, 2016",Octavio Paz ich maaya,https://www.lajornadamaya.mx/k'iintsil/53611/octavio-paz-ich-maaya
"29 de junio, 2016",Kuxtal ich óotsilil,https://www.lajornadamaya.mx/k'iintsil/51280/kuxtal-ich-ootsilil
"22 de junio, 2016","Tu kaajil Izamal, Yucatán",https://www.lajornadamaya.mx/k'iintsil/51647/tu-kaajil-izamal-yucatan
"20 de junio, 2016",Yáax wáal Yucatán,https://www.lajornadamaya.mx/k'iintsil/51813/yaax-waal-yucatan
"20 de junio, 2016",Yáax wáal QRoo,https://www.lajornadamaya.mx/k'iintsil/51814/yaax-waal-qroo
"10 de junio, 2016",Paax ich tzotzil,https://www.lajornadamaya.mx/k'iintsil/52226/paax-ich-tzotzil
"06 de junio, 2016",Yáax wáal,https://www.lajornadamaya.mx/k'iintsil/52441/yaax-waal
"28 de julio, 2016",Sáamal u káajal,https://www.lajornadamaya.mx/k'iintsil/49816/saamal-u-kaajal
"27 de julio, 2016",Kóokay,https://www.lajornadamaya.mx/k'iintsil/49877/kookay
"26 de julio, 2016",Tu yúuchben múulil Templo de las Inscripciones,https://www.lajornadamaya.mx/k'iintsil/49938/tu-yuuchben-muulil-templo-de-las-inscripciones
"25 de julio, 2016",Yáax wáal Yucatán,https://www.lajornadamaya.mx/k'iintsil/50005/yaax-waal-yucatan
"25 de julio, 2016",Yáax wáal Quintana Roo,https://www.lajornadamaya.mx/k'iintsil/50006/yaax-waal-quintana-roo
"22 de julio, 2016",Wikipedia ich maayat’aan,https://www.lajornadamaya.mx/k'iintsil/50111/wikipedia-ich-maayat-aan
"15 de julio, 2016",Yaan kex 4 mil 500 ja’abo’ob u yúuchbenil,https://www.lajornadamaya.mx/k'iintsil/50498/yaan-kex-4-mil-500-ja-abo-ob-u-yuuchbenil
"06 de julio, 2016",Tu xíimbal,https://www.lajornadamaya.mx/k'iintsil/50948/tu-xiimbal
"26 de agosto, 2016",Sáamal sábado,https://www.lajornadamaya.mx/k'iintsil/48266/saamal-sabado
"25 de agosto, 2016",Paax,https://www.lajornadamaya.mx/k'iintsil/48310/paax
"24 de agosto, 2016",Péepen,https://www.lajornadamaya.mx/k'iintsil/48354/peepen
"23 de agosto, 2016",Antropólogo y filólogo,https://www.lajornadamaya.mx/k'iintsil/48383/antropologo-y-filologo
"23 de agosto, 2016",Túumben sáastal,https://www.lajornadamaya.mx/k'iintsil/48421/tuumben-saastal
"18 de agosto, 2016",Ku ts’a’abal k’ajóoltbil FICMaya 2016,https://www.lajornadamaya.mx/k'iintsil/48654/-ku-ts-a-abal-k-ajooltbil-ficmaya-2016
"18 de agosto, 2016",U keetil júulte,https://www.lajornadamaya.mx/k'iintsil/48655/u-keetil-juulte
"15 de agosto, 2016",Ku biinsik yáax kúuchil,https://www.lajornadamaya.mx/k'iintsil/48859/ku-biinsik-yaax-kuuchil
"12 de agosto, 2016",Ku náajaltik oro,https://www.lajornadamaya.mx/k'iintsil/48980/ku-naajaltik-oro
"09 de agosto, 2016",U Máank’inal Máasewal Kaajo’ob,https://www.lajornadamaya.mx/k'iintsil/49165/u-maank-inal-maasewal-kaajo-ob
"05 de agosto, 2016",Kex 10 mil 500 u túul aj báaxalo’ob,https://www.lajornadamaya.mx/k'iintsil/49390/kex-10-mil-500-u-tuul-aj-baaxalo-ob
"04 de agosto, 2016",Juegos Olímpicos 2016,https://www.lajornadamaya.mx/k'iintsil/49467/juegos-olimpicos-2016
"26 de septiembre, 2016",Túumben Quintana Roo,https://www.lajornadamaya.mx/k'iintsil/47044/tuumben-quintana-roo
"13 de septiembre, 2016",Aj boon,https://www.lajornadamaya.mx/k'iintsil/47524/aj-boon
"02 de septiembre, 2016",Kuxtal,https://www.lajornadamaya.mx/k'iintsil/47958/kuxtal
"27 de octubre, 2016",Muestra de Cine y Radio Comunitaria,https://www.lajornadamaya.mx/k'iintsil/45452/muestra-de-cine-y-radio-comunitaria
"27 de octubre, 2016",Áanalte,https://www.lajornadamaya.mx/k'iintsil/45453/aanalte
"19 de octubre, 2016",Yucatán tu yich u paalal,https://www.lajornadamaya.mx/k'iintsil/45873/yucatan-tu-yich-u-paalal
"18 de octubre, 2016",Tu yúuchben kaajil Uxmal,https://www.lajornadamaya.mx/k'iintsil/45932/tu-yuuchben-kaajil-uxmal
"17 de octubre, 2016",Exponen retos de la traducción maya,https://www.lajornadamaya.mx/k'iintsil/45961/exponen-retos-de-la-traduccion-maya
"14 de octubre, 2016",Tu yóol iik,https://www.lajornadamaya.mx/k'iintsil/46148/tu-yool-iik
"13 de octubre, 2016",Ichil u meyajil Quinto Congreso Nacional Indígena,https://www.lajornadamaya.mx/k'iintsil/46196/ichil-u-meyajil-quinto-congreso-nacional-indigena
"12 de octubre, 2016",x Aalansaj,https://www.lajornadamaya.mx/k'iintsil/46253/x-aalansaj
"11 de octubre, 2016",Túumben nal,https://www.lajornadamaya.mx/k'iintsil/46291/tuumben-nal
"10 de octubre, 2016",Úuchben báaxal,https://www.lajornadamaya.mx/k'iintsil/46356/uuchben-baaxal
"04 de octubre, 2016",Feria Rural ti’ Chapingo,https://www.lajornadamaya.mx/k'iintsil/46664/feria-rural-ti-chapingo
"04 de octubre, 2016",Kaab,https://www.lajornadamaya.mx/k'iintsil/46665/kaab
"30 de noviembre, 2016",Na’at le ba’ala’ paalen,https://www.lajornadamaya.mx/k'iintsil/43407/na-at-le-ba-ala-paalen
"28 de noviembre, 2016",Bin metnal,https://www.lajornadamaya.mx/k'iintsil/43524/bin-metnal
"23 de noviembre, 2016",Nal,https://www.lajornadamaya.mx/k'iintsil/43884/nal
"15 de noviembre, 2016",x Ma uj,https://www.lajornadamaya.mx/k'iintsil/44358/x-ma-uj
"15 de noviembre, 2016",Premio Nezahualcóyotl 2016,https://www.lajornadamaya.mx/k'iintsil/44359/premio-nezahualcoyotl-2016
"13 de noviembre, 2016",Imaginando dinosaurios,https://www.lajornadamaya.mx/k'iintsil/44413/imaginando-dinosaurios
"11 de noviembre, 2016",Nojoch uj,https://www.lajornadamaya.mx/k'iintsil/44557/nojoch-uj
"07 de noviembre, 2016",Xíimbalil,https://www.lajornadamaya.mx/k'iintsil/44813/xiimbalil
"02 de noviembre, 2016",Janal pixan,https://www.lajornadamaya.mx/k'iintsil/45118/janal-pixan
"01 de noviembre, 2016",Kíimil,https://www.lajornadamaya.mx/k'iintsil/45171/kiimil
"27 de diciembre, 2016",U meyaj Toledo ti’ kamp’éel áanalte,https://www.lajornadamaya.mx/k'iintsil/41908/u-meyaj-toledo-ti-kamp-eel-aanalte
"23 de diciembre, 2016","K’áatab ti’ob ka u ya’abkunsuba’ob, ba’ale’ u k’a’ananile’ ka t’aanako’ob",https://www.lajornadamaya.mx/k'iintsil/42069/k-aatab-ti-ob-ka-u-ya-abkunsuba-ob-ba-ale-u-k-a-ananile-ka-t-aanako-ob
"21 de diciembre, 2016",A ka’ap’éel ichil t’aan,https://www.lajornadamaya.mx/k'iintsil/42169/a-ka-ap-eel-ichil-t-aan
"16 de diciembre, 2016","Le ka tu yilaj bix uchik u k’éexpajal ka’atúul  u yáabilo’obe’, léek che’ej",https://www.lajornadamaya.mx/k'iintsil/42466/le-ka-tu-yilaj-bix-uchik-u-k-eexpajal-ka-atuul-u-yaabilo-obe-leek-che-ej
"15 de diciembre, 2016",Ku ch’inch’int’a’anal ti’ redes sociales,https://www.lajornadamaya.mx/k'iintsil/42533/ku-ch-inch-int-a-anal-ti-redes-sociales
"14 de diciembre, 2016",K’ak’alt’aano’ob II,https://www.lajornadamaya.mx/k'iintsil/42596/k-ak-alt-aano-ob-ii
"12 de diciembre, 2016",Mon Laferte yéetel La Noche Blanca,https://www.lajornadamaya.mx/k'iintsil/42685/mon-laferte-yeetel-la-noche-blanca
"09 de diciembre, 2016",J-A’alab ti’ ba’alche’ ka u paklan jantuba’ob,https://www.lajornadamaya.mx/k'iintsil/42870/j-a-alab-ti-ba-alche-ka-u-paklan-jantuba-ob
"06 de diciembre, 2016",U yóoxtéenil meyajil Simposio Ichkaantijoo,https://www.lajornadamaya.mx/k'iintsil/43057/u-yooxteenil-meyajil-simposio-ichkaantijoo
"06 de diciembre, 2016",Tu taamil u ja’ilo’ob Quintana Roo,https://www.lajornadamaya.mx/k'iintsil/43058/tu-taamil-u-ja-ilo-ob-quintana-roo
"04 de diciembre, 2016",PLIA 2016,https://www.lajornadamaya.mx/k'iintsil/43120/plia-2016
"04 de diciembre, 2016",K’ame’ex u níib óolal in puk’si’ik’al,https://www.lajornadamaya.mx/k'iintsil/43153/k-ame-ex-u-niib-oolal-in-puk-si-ik-al
